isin,deal,tranche,report_month,payment_date,accrual_start,accrual_end,accrual_days,day_basis,index_rate,margin_bp,coupon_rate,original_balance,beg_balance,principal_paid,end_balance,pool_factor,interest_paid,pdl_balance,n_notes,principal_per_note,denom_beg,denom_end,coll_beg_balance,coll_sched_principal,coll_prepayments,coll_repurchases,coll_cpr_reported,coll_deemed_losses,coll_recoveries,coll_end_balance,coll_end_balance_net,wac,arrears_90_365,cum_default_ratio,prorata_test,reserve_balance,coll_principal_total,coll_cpr_12m,next_coupon_rate,next_index_rate,source_url,source_section,parse_status
ES0345672010,"HIPOCAT 11, FTA",A2,2015-01,2015-01-23,,,,Act/360,,13,,1083200000.0,385608000.0,15196000.0,370412000.0,0.3419608567,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2015-04,2015-04-23,,,,Act/360,,13,,1083200000.0,370412000.0,9195000.0,361217000.0,0.3334721196,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2015-07,2015-07-23,,,,Act/360,,13,,1083200000.0,361217000.0,14481000.0,346736000.0,0.3201033973,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2015-10,2015-10-22,,,,Act/360,,13,,1083200000.0,346736000.0,8079000.0,338657000.0,0.3126449409,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2016-01,2016-01-21,,,,Act/360,,13,,1083200000.0,338657000.0,11392000.0,327265000.0,0.3021279542,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2016-04,2016-04-22,,,,Act/360,,13,,1083200000.0,327265000.0,9573000.0,317692000.0,0.2932902511,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2016-07,2016-07-22,,,,Act/360,,13,,1083200000.0,317692000.0,8897000.0,308795000.0,0.2850766248,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2016-10,2016-10-22,,,,Act/360,,13,,1083200000.0,308795000.0,6320000.0,302475000.0,0.2792420606,,,10832,,,,,,,,,,,,,,,,,,,,,,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf,"Cuentas Anuales 2016, Nota 8 'movimiento de los Bonos', Serie A2 (kEUR; dates as printed)","ok: annual accounts, kEUR rounding; ties to balance sheet 31/12/15 & 31/12/16 and to trigger annex 06/10/16"
ES0345672010,"HIPOCAT 11, FTA",A2,2018-01,2018-01-15,,,,Act/360,,13,,1083200000.0,268325000.0,18687000.0,249638000.0,0.2304634417,,,10832,,,,,,,,,,,,,,,,,,,,,,https://internet.cnmv.es/AUDITA/2019/18634.pdf,"Cuentas Anuales 2019 (CNMV AUDITA), Nota 8 movimiento de los Bonos + Nota 17 pagos por fecha (kEUR)","ok: annual accounts kEUR; ties to 31/12/18 (230,507) and 31/12/19 (217,021)"
ES0345672010,"HIPOCAT 11, FTA",A2,2018-04,2018-04-16,,,,Act/360,,13,,1083200000.0,249638000.0,10083000.0,239555000.0,0.2211549114,,,10832,,,,,,,,,,,,,,,,,,,,,,https://internet.cnmv.es/AUDITA/2019/18634.pdf,"Cuentas Anuales 2019 (CNMV AUDITA), Nota 8 movimiento de los Bonos + Nota 17 pagos por fecha (kEUR)","ok: annual accounts kEUR; ties to 31/12/18 (230,507) and 31/12/19 (217,021)"
