month_end,pool_outstanding_eur,monthly_cpr_annualised,source
2006-05,1380043487.53,0.3356,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-06,1353249969.08,0.1953,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-07,1327391212.12,0.19219999999999998,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-08,1315540418.08,0.08560000000000001,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-09,1297490943.21,0.13720000000000002,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-10,1275442619.04,0.17079999999999998,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-11,1258146654.54,0.1353,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2006-12,1237697663.85,0.1632,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-01,1223628940.59,0.1118,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-02,1204243585.17,0.1588,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-03,1179024458.45,0.2096,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-04,1161496331.55,0.14859999999999998,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-05,1142960875.12,0.1598,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-06,1123052569.05,0.1745,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-07,1101396337.69,0.1931,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
2007-08,1091486277.77,0.08529999999999999,"UCI 15 Información Periódica Jun-2026, prepayment table (Saldo Real / TACP mensual)"
