isin,deal,tranche,report_month,payment_date,accrual_start,accrual_end,accrual_days,day_basis,index_rate,margin_bp,coupon_rate,original_balance,beg_balance,principal_paid,end_balance,pool_factor,interest_paid,pdl_balance,n_notes,principal_per_note,denom_beg,denom_end,coll_beg_balance,coll_sched_principal,coll_prepayments,coll_repurchases,coll_cpr_reported,coll_deemed_losses,coll_recoveries,coll_end_balance,coll_end_balance_net,wac,arrears_90_365,cum_default_ratio,prorata_test,reserve_balance,coll_principal_total,coll_cpr_12m,next_coupon_rate,next_index_rate,source_url,source_section,parse_status,principal_due,principal_shortfall,sub_beg_balance,sub_end_balance,coll_beg_balance_net
XS0222684655,Magellan Mortgages No. 3,A,2009-02,2009-02-16,2008-11-17,2009-02-16,91,Act/360,0.04245,13,0.04375,1413750000.0,832103561.25,34219818.75,797883742.5,0.564374,9202256.4,0.0,141375,242.05,5885.79,5643.74,902334026.16,4199998.56,12534884.3,18607738.46,0.0558,2509441.64,356105.47,866991404.84,858477016.36,0.0521898,22046042.85,0.0153,PASS,13500000.0,,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/200902Magellan3_InvestorReport.pdf,Sec.1/2/3/6,"ok: issuer report, 6 identities pass",,,63870798.75,61244055.0,895972973.85
XS0222684655,Magellan Mortgages No. 3,A,2013-08,2013-08-16,2013-05-15,2013-08-16,93,Act/360,0.00203,26,0.00463,1413750000.0,499807278.75,13915541.25,485891737.5,0.34369,597811.16,,141375,98.43,3535.33,3436.9,560443918.16,,,,,,,,,,,,,,14433918.4,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/201308Magellan3_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2017-08,2017-08-16,2017-05-15,2017-08-16,93,Act/360,-0.00329,26,-0.00069,1413750000.0,354415815.0,8742630.0,345673185.0,0.244508,-63174.62,,141375,61.84,2506.92,2445.08,403717641.83,,,,,,,,,,,,,,10404854.52,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/201708Magellan3_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2018-08,2018-08-16,2018-05-15,2018-08-16,93,Act/360,-0.00327,26,0.0,1413750000.0,316728067.5,9042345.0,307685722.5,0.217638,0.0,,141375,63.96,2240.34,2176.38,359635569.8,,,,,,,,,,,,,,10397493.23,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/201808Magellan3_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2018-11,2018-11-15,2018-08-16,2018-11-15,91,Act/360,-0.00319,26,0.0,1413750000.0,307685722.5,8144613.75,299541108.75,0.211877,0.0,,141375,57.61,2176.38,2118.77,349238076.57,,,,,,,,,,,,,,9239055.35,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/201811Magellan3_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2019-02,2019-02-15,2018-11-15,2019-02-15,92,Act/360,-0.00316,26,0.0,1413750000.0,299541108.75,8315677.5,291225431.25,0.205995,0.0,,141375,58.82,2118.77,2059.95,339999021.22,,,,,,,,,,,,,,9846787.5,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/Investor_Report_2019_02.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2019-05,2019-05-15,2019-02-15,2019-05-15,89,Act/360,-0.00308,26,0.0,1413750000.0,291225431.25,7970722.5,283254708.75,0.200357,0.0,,141375,56.38,2059.95,2003.57,330152233.72,,,,,,,,,,,,,,9206191.67,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/Investor_Report_16052019.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2019-08,2019-08-16,2019-05-15,2019-08-16,93,Act/360,-0.00311,26,0.0,1413750000.0,283254708.75,7441980.0,275812728.75,0.195093,0.0,,141375,52.64,2003.57,1950.93,320946042.05,,,,,,,,,,,,,,8347958.2,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/Investor_Report_2019_08.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2020-11,2020-11-16,2020-08-17,2020-11-16,91,Act/360,-0.00481,26,0.0,1413750000.0,249418016.25,5879786.25,243538230.0,0.172264,0.0,,141375,41.59,1764.23,1722.64,281959472.54,,,,,,,,,,,,,,6580273.84,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/Investor_Report_2020_11_12112020.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
XS0222684655,Magellan Mortgages No. 3,A,2021-02,2021-02-15,2020-11-16,2021-02-15,91,Act/360,-0.00513,26,0.0,1413750000.0,243538230.0,6942926.25,236595303.75,0.167353,0.0,,141375,49.11,1722.64,1673.53,275379198.7,,,,,,,,,,,,,,8134725.28,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan3-InvestorReport/Investor_Report_15022021.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)",,,,,
