isin,deal,tranche,report_month,payment_date,accrual_start,accrual_end,accrual_days,day_basis,index_rate,margin_bp,coupon_rate,original_balance,beg_balance,principal_paid,end_balance,pool_factor,interest_paid,pdl_balance,n_notes,principal_per_note,denom_beg,denom_end,coll_beg_balance,coll_sched_principal,coll_prepayments,coll_repurchases,coll_cpr_reported,coll_deemed_losses,coll_recoveries,coll_end_balance,coll_end_balance_net,wac,arrears_90_365,cum_default_ratio,prorata_test,reserve_balance,coll_principal_total,coll_cpr_12m,next_coupon_rate,next_index_rate,source_url,source_section,parse_status
XS0260784318,Magellan Mortgages No. 4,A,2010-01,2010-01-20,2009-10-20,2010-01-20,92,Act/360,0.00739,14,0.00879,1413750000.0,801487391.25,33987963.75,767499427.5,0.542882,1800407.84,,141375,240.41,5669.23,5428.82,865936119.32,,,,,,,,,,,,,,36238567.41,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201001Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2012-04,2012-04-20,2012-01-20,2012-04-20,91,Act/360,0.01204,14,0.01344,1413750000.0,642528168.75,14637967.5,627890201.25,0.444131,2182882.37,,141375,103.54,4544.85,4441.31,700677123.52,,,,,,,,,,,,,,14378657.86,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201204Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2013-04,2013-04-22,2013-01-21,2013-04-22,91,Act/360,0.00204,14,0.00344,1413750000.0,582848126.25,15654453.75,567193672.5,0.401198,506818.83,,141375,110.73,4122.71,4011.98,639197916.66,,,,,,,,,,,,,,16292520.2,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201304Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2015-07,2015-07-20,2015-04-20,2015-07-20,91,Act/360,2e-05,14,0.00142,1413750000.0,477380962.5,9316612.5,468064350.0,0.33108,171353.24,,141375,65.9,3376.7,3310.8,529710288.15,,,,,,,,,,,,,,9501622.58,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201507Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2017-04,2017-04-20,2017-01-20,2017-04-20,90,Act/360,-0.00329,28,0.0,1413750000.0,405409777.5,9535743.75,395874033.75,0.280017,0.0,,141375,67.45,2867.62,2800.17,453369098.65,,,,,,,,,,,,,,10752517.95,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201704Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2018-04,2018-04-20,2018-01-22,2018-04-20,88,Act/360,-0.00328,28,0.0,1413750000.0,367109876.25,8793525.0,358316351.25,0.253451,0.0,,141375,62.2,2596.71,2534.51,410014650.72,,,,,,,,,,,,,,9765179.34,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/201804Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2025-01,2025-01-20,2024-10-21,2025-01-20,91,Act/360,0.03219,28,0.03499,1413750000.0,170050091.25,5424558.75,164625532.5,0.116446,1504041.1,,141375,38.37,1202.83,1164.46,189565807.16,,,,,,,,,,,,,,5879318.24,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/202501_Magellan4_InvestorReport.pdf,Sec.1 Denomination / New Denomination / Accrual Rate; Sec.2 beginning balance & principal redemption,"ok: issuer report Sec.1 (balances = denomination x 141,375; interest computed)"
XS0260784318,Magellan Mortgages No. 4,A,2026-01,2026-01-20,2025-10-20,2026-01-20,92,Act/360,0.02004,28,0.02284,1413750000.0,149957876.25,5915130.0,144042746.25,0.101887,875287.46,0.0,141375,41.84,1060.71,1018.87,167685548.37,2525885.29,3731073.65,183051.94,0.0906,34539.67,94508.64,161245537.49,155381713.69,0.02869,163238.33,0.0037,PASS,9000000.0,,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/Magellan-Mortgages-No4-plc_16012026.pdf,Sec.1/2/3/6,"ok: issuer report, 6 identities pass"
XS0260784318,Magellan Mortgages No. 4,A,2026-04,2026-04-20,2026-01-20,2026-04-20,90,Act/360,,28,,1413750000.0,144042746.25,4709201.25,139333545.0,0.0985563,,,141375,33.31,1018.87,985.56,,,,,,,,,,,,,,,,,,,"derived: Jan-2026 'New Denomination' 1,018.87 and Jul-2026 'Denomination' 985.56",denomination chain,DERIVED (principal exact; interest/collateral not available)
XS0260784318,Magellan Mortgages No. 4,A,2026-07,2026-07-20,2026-04-20,2026-07-20,91,Act/360,0.02238,28,0.02518,1413750000.0,139333545.0,4089978.75,135243566.25,0.095663,886850.27,0.0,141375,28.93,985.56,956.63,156035710.29,2411455.06,1967231.3,115717.72,0.0522,2446.68,84634.26,151541306.21,145889060.68,0.02996,84628.09,0.0036,PASS,9000000.0,,,,,https://ind.millenniumbcp.pt/pt/Institucional/investidores/securitizacoes/Documents/Magellan4-InvestorReport/InvestorReport_202607.pdf,Sec.1/2/3/6,"ok: issuer report, 6 identities pass"
