isin,metric,bbg,model,realised,winner,status
XS0222684655,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
XS0260784318,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
XS0230694233,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
XS0268642161,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
XS0312981649,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377992005,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377993029,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377994019,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377994027,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377966009,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0377955010,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0359091016,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0380957003,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0338186010,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0345672010,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0345721015,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
ES0345721023,all,,,,,MANUAL_REQUIRED: missing cashflows.csv
