isin,observed,projected,result
ES0345672010,2016-01-21,2016-01-15,DEVIATION +6d
ES0345672010,2016-04-22,2016-04-15,DEVIATION +7d
ES0345672010,2016-07-22,2016-07-15,DEVIATION +7d
ES0345672010,2016-10-22,2016-10-17,DEVIATION +5d
ES0345672010,2018-01-15,2018-01-15,EXACT
ES0345672010,2018-04-16,2018-04-16,EXACT
ES0345672010,2018-07-16,2018-07-16,EXACT
ES0345672010,2018-10-15,2018-10-15,EXACT
ES0345672010,2019-01-15,2019-01-15,EXACT
ES0345672010,2019-04-15,2019-04-15,EXACT
ES0345672010,2019-07-15,2019-07-15,EXACT
ES0345672010,2019-10-15,2019-10-15,EXACT
ES0377966009,2020-08-26,2020-08-26,EXACT
ES0377966009,2020-11-26,2020-11-26,EXACT
ES0377992005,2021-01-27,2021-01-26,DEVIATION +1d
ES0377992005,2021-04-27,2021-04-26,DEVIATION +1d
ES0377992005,2021-07-27,2021-07-26,DEVIATION +1d
ES0377992005,2021-10-26,2021-10-26,EXACT
ES0377992005,2022-01-26,2022-01-26,EXACT
ES0377992005,2022-04-26,2022-04-26,EXACT
ES0377992005,2022-07-26,2022-07-26,EXACT
ES0377992005,2022-10-26,2022-10-26,EXACT
ES0380957003,2007-06-18,2007-06-18,EXACT
ES0380957003,2012-06-18,2012-06-18,EXACT
ES0380957003,2026-06-18,2026-06-18,EXACT
XS0222684655,2023-05-15,2023-05-15,EXACT
XS0222684655,2023-08-16,2023-08-16,EXACT
XS0222684655,2023-11-15,2023-11-15,EXACT
XS0222684655,2024-02-15,2024-02-15,EXACT
XS0222684655,2024-05-15,2024-05-15,EXACT
XS0222684655,2025-02-17,2025-02-17,EXACT
XS0222684655,2025-05-15,2025-05-15,EXACT
XS0222684655,2025-08-18,2025-08-18,EXACT
XS0222684655,2025-11-17,2025-11-17,EXACT
XS0222684655,2026-02-16,2026-02-16,EXACT
XS0222684655,2026-05-15,2026-05-15,EXACT
XS0222684655,2026-08-17,2026-08-17,EXACT
XS0260784318,2010-01-20,2010-01-20,EXACT
XS0260784318,2012-04-20,2012-04-20,EXACT
XS0260784318,2013-04-22,2013-04-22,EXACT
XS0260784318,2015-07-20,2015-07-20,EXACT
XS0260784318,2017-04-20,2017-04-20,EXACT
XS0260784318,2018-04-20,2018-04-20,EXACT
XS0260784318,2025-01-20,2025-01-20,EXACT
XS0260784318,2026-01-20,2026-01-20,EXACT
XS0260784318,2026-04-20,2026-04-20,EXACT
XS0260784318,2026-07-20,2026-07-20,EXACT
