isin,dimension,value,best_S,median_S,n
ES0345672010,prepay,ABS,33.63890037,4498.17832365,13032
ES0345672010,prepay,CPR,3.07484739,13.48850941,56472
ES0345672010,prepay,PSA,3.81010991,12.20503076,26064
ES0345672010,prepay_setting,ABS 0.005,33.63890037,262.87571808,4344
ES0345672010,prepay_setting,ABS 0.01,4498.17832365,4498.17832365,4344
ES0345672010,prepay_setting,ABS 0.015,4498.17832365,4498.17832365,4344
ES0345672010,prepay_setting,CPR 0,3.07484739,4.0372686,4344
ES0345672010,prepay_setting,CPR 0.02,3.50749754,4.79871777,4344
ES0345672010,prepay_setting,CPR 0.04,4.17171055,5.82054352,4344
ES0345672010,prepay_setting,CPR 0.06,5.05963165,7.09100647,4344
ES0345672010,prepay_setting,CPR 0.08,6.22078839,8.62118189,4344
ES0345672010,prepay_setting,CPR 0.1,7.64910377,10.42108753,4344
ES0345672010,prepay_setting,CPR 0.12,9.35788263,12.51119111,4344
ES0345672010,prepay_setting,CPR 0.14,11.36136841,14.88965879,4344
ES0345672010,prepay_setting,CPR 0.16,13.67483187,17.56926438,4344
ES0345672010,prepay_setting,CPR 0.18,16.3146704,20.64113357,4344
ES0345672010,prepay_setting,CPR 0.2,19.29851954,24.09110952,4344
ES0345672010,prepay_setting,CPR 0.25,28.41825128,46.31535746,4344
ES0345672010,prepay_setting,CPR 0.3,38.36612668,47.38893522,4344
ES0345672010,prepay_setting,PSA 100,5.05963165,7.09100647,4344
ES0345672010,prepay_setting,PSA 150,6.90074073,9.48961105,4344
ES0345672010,prepay_setting,PSA 200,9.35788263,12.51119111,4344
ES0345672010,prepay_setting,PSA 300,16.3146704,20.64113357,4344
ES0345672010,prepay_setting,PSA 400,26.40178316,43.70766138,4344
ES0345672010,prepay_setting,PSA 50,3.81010991,5.27909995,4344
ES0345672010,default,CDR,3.07484739,15.72517523,57024
ES0345672010,default,SDA,3.14124617,15.55407008,38016
ES0345672010,default,none,3.14328776,15.05001185,528
ES0345672010,severity,0.0,3.14328776,15.05001185,528
ES0345672010,severity,0.2,3.07484739,15.72511616,31680
ES0345672010,severity,0.35,3.07484739,15.6415508,31680
ES0345672010,severity,0.5,3.07484739,15.56461821,31680
ES0345672010,lag_m,0,3.14328776,15.05001185,528
ES0345672010,lag_m,12,3.08931147,15.31544647,31680
ES0345672010,lag_m,24,3.07484739,15.19752772,31680
ES0345672010,lag_m,6,3.15431365,16.57525803,31680
ES0345672010,advancing,0,3.09837887,15.64385763,48048
ES0345672010,advancing,1,3.07484739,15.60690448,47520
ES0345672010,call,clean_up,3.1050328,15.00877695,47784
ES0345672010,call,maturity,3.07484739,16.22128607,47784
ES0345672010,trigger,as_filed,3.07484739,15.63057231,95568
ES0345672010,wac,0.01,3.22567213,16.0053646,31856
ES0345672010,wac,0.02,3.14269091,15.63266935,31856
ES0345672010,wac,0.03,3.07484739,15.2870446,31856
ES0345672010,wam_m,120.0,5.50416266,21.23484973,23892
ES0345672010,wam_m,180.0,3.85116226,14.91998202,23892
ES0345672010,wam_m,240.0,3.30894125,13.03527355,23892
ES0345672010,wam_m,300.0,3.07484739,12.00996809,23892
