isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
ES0380957003,1,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,0,clean_up,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,2,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,0,clean_up,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,3,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,0,call_date,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,4,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,0,call_date,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,5,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,1,clean_up,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,6,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,1,clean_up,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,7,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,1,call_date,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,8,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.2,24,1,call_date,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,9,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.35,24,0,clean_up,as_filed,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
ES0380957003,10,0.35964409,0.22338896,0.13625512,0.08,0.05,-0.3916535,0.26447431,0.00706011,28.94041552,CPR 0.08,CDR 0.05,0.35,24,0,clean_up,force_sequential,0.0326,240.0,0.0,0.23406372,1.27503255,133.70099359,2027-12-20,pool_sub_implied
