isin,dimension,value,best_S,median_S,n
XS0222684655,prepay,ABS,84695.62198737,84722.37995228,3258
XS0222684655,prepay,CPR,2.48021348,38677.94353047,14118
XS0222684655,prepay,PSA,4.98539493,38478.4910424,6516
XS0222684655,prepay_setting,ABS 0.005,84695.62198737,84722.37995228,1086
XS0222684655,prepay_setting,ABS 0.01,84695.62198737,84722.37995228,1086
XS0222684655,prepay_setting,ABS 0.015,84695.62198737,84722.37995228,1086
XS0222684655,prepay_setting,CPR 0,33.54029064,38015.06368899,1086
XS0222684655,prepay_setting,CPR 0.02,12.0605009,38010.40303151,1086
XS0222684655,prepay_setting,CPR 0.04,2.48021348,38002.31179429,1086
XS0222684655,prepay_setting,CPR 0.06,4.98539493,38002.76179414,1086
XS0222684655,prepay_setting,CPR 0.08,19.77436672,38058.33722523,1086
XS0222684655,prepay_setting,CPR 0.1,47.05845507,38119.58623029,1086
XS0222684655,prepay_setting,CPR 0.12,87.06277617,38189.01956518,1086
XS0222684655,prepay_setting,CPR 0.14,140.03119514,38147.06887307,1086
XS0222684655,prepay_setting,CPR 0.16,206.22365745,38316.98332966,1086
XS0222684655,prepay_setting,CPR 0.18,285.91830078,38296.42749511,1086
XS0222684655,prepay_setting,CPR 0.2,379.40995711,38342.24470204,1086
XS0222684655,prepay_setting,CPR 0.25,675.71173882,38688.19535867,1086
XS0222684655,prepay_setting,CPR 0.3,1066.13574495,39009.70353047,1086
XS0222684655,prepay_setting,PSA 100,4.98539493,38002.76179414,1086
XS0222684655,prepay_setting,PSA 150,31.84089414,38116.60052264,1086
XS0222684655,prepay_setting,PSA 200,87.06277617,38189.01956518,1086
XS0222684655,prepay_setting,PSA 300,285.91830078,38296.42749511,1086
XS0222684655,prepay_setting,PSA 400,609.12041661,38672.9510424,1086
XS0222684655,prepay_setting,PSA 50,5.77157402,38034.73631172,1086
XS0222684655,default,CDR,3.37250011,75559.49995228,14256
XS0222684655,default,SDA,2.48021348,75541.19895803,9504
XS0222684655,default,none,2.48306353,75541.09223727,132
XS0222684655,severity,0.0,2.48306353,75541.09223727,132
XS0222684655,severity,0.2,2.48021348,75550.09482388,7920
XS0222684655,severity,0.35,2.48021348,75550.09482388,7920
XS0222684655,severity,0.5,2.48021348,75550.09482388,7920
XS0222684655,lag_m,0,2.48306353,75541.09223727,132
XS0222684655,lag_m,12,2.48102737,75550.09482388,7920
XS0222684655,lag_m,24,2.48021348,75550.09482388,7920
XS0222684655,lag_m,6,2.51534577,75550.09482388,7920
XS0222684655,advancing,0,2.48117998,75549.49609477,12012
XS0222684655,advancing,1,2.48021348,75550.09482388,11880
XS0222684655,call,clean_up,75536.61223727,75702.07538231,11946
XS0222684655,call,maturity,2.48021348,269.46024631,11946
XS0222684655,trigger,as_filed,2.48021348,75545.49609477,7964
XS0222684655,trigger,force_pro_rata,2.48021348,75545.49609477,7964
XS0222684655,trigger,force_sequential,30.67175005,75549.49609477,7964
XS0222684655,wac,0.03174,2.48021348,75549.49609477,23892
XS0222684655,wam_m,132.64543414,2.48021348,75549.49609477,23892
