isin,rank,S,S_smooth,C_filing,cpr_cfg_initial,cdr_cfg_initial,seam_level,seam_slope,roughness,terminal,prepay,default,severity,lag_m,advancing,call,trigger,wac,wam_m,index_shift,first_ipd_rate_annual,wal_years,dm_bp_at_ref,last_cf_date,state_mode
XS0260784318,1,0.74997115,0.19114384,0.55882731,0.06,0.0,-0.38328475,0.19450844,0.0800194,0.0,CPR 0.06,none,0.0,0,0,maturity,as_filed,0.02996,149.9,0.0,0.12128015,5.27502959,59.26337747,2039-01-20,pool
XS0260784318,2,0.74997115,0.19114384,0.55882731,0.06,0.0,-0.38328475,0.19450844,0.0800194,0.0,CPR 0.06,none,0.0,0,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12128015,5.27502959,59.26337747,2039-01-20,pool
XS0260784318,3,0.74997115,0.19114384,0.55882731,0.06,0.0,-0.38328475,0.19450844,0.0800194,0.0,PSA 100,none,0.0,0,0,maturity,as_filed,0.02996,149.9,0.0,0.12128015,5.27502959,59.26337747,2039-01-20,pool
XS0260784318,4,0.74997115,0.19114384,0.55882731,0.06,0.0,-0.38328475,0.19450844,0.0800194,0.0,PSA 100,none,0.0,0,0,maturity,force_pro_rata,0.02996,149.9,0.0,0.12128015,5.27502959,59.26337747,2039-01-20,pool
XS0260784318,5,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.2,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27508818,59.26509597,2059-07-21,pool
XS0260784318,6,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.2,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27508818,59.26509597,2059-07-21,pool
XS0260784318,7,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.35,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27515355,59.26486709,2059-07-21,pool
XS0260784318,8,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.35,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27515355,59.26486709,2059-07-21,pool
XS0260784318,9,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.5,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27521893,59.26463822,2059-07-21,pool
XS0260784318,10,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,CPR 0.06,SDA 50,0.5,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27521893,59.26463822,2059-07-21,pool
XS0260784318,11,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.2,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27508818,59.26509597,2059-07-21,pool
XS0260784318,12,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.2,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27508818,59.26509597,2059-07-21,pool
XS0260784318,13,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.35,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27515355,59.26486709,2059-07-21,pool
XS0260784318,14,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.35,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27515355,59.26486709,2059-07-21,pool
XS0260784318,15,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.5,24,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27521893,59.26463822,2059-07-21,pool
XS0260784318,16,0.75021342,0.19079665,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07993289,0.0,PSA 100,SDA 50,0.5,24,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27521893,59.26463822,2059-07-21,pool
XS0260784318,17,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.2,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,18,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.2,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,19,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.35,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,20,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.35,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,21,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.5,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,22,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,CPR 0.06,SDA 50,0.5,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,23,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.2,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,24,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.2,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27361449,59.27227623,2059-07-21,pool
XS0260784318,25,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.35,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,26,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.35,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.27363699,59.27219702,2059-07-21,pool
XS0260784318,27,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.5,12,1,maturity,as_filed,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
XS0260784318,28,0.75022347,0.1908067,0.55941677,0.06,0.00015,-0.38346739,0.19328773,0.07999572,0.0,PSA 100,SDA 50,0.5,12,1,maturity,force_pro_rata,0.02996,149.9,0.0,0.12127727,5.2736595,59.27211781,2059-07-21,pool
