isin,origin_ipd,target_ipd,steps_ahead,n_configs,state_mode,spearman_S_vs_error,err_smoothest_bp,err_top1pct_mean_bp,err_grid_median_bp,err_hindsight_best_bp,err_naive_last_rate_bp
XS0222684655,2017-08-16,2018-08-16,4,95568,proxy,0.92227985,52.45142283,55.02365948,188.19386262,0.09972209,177.08535076
XS0222684655,2018-08-16,2018-11-15,1,95568,proxy,0.95177097,4.64065359,4.65793588,49.3282279,0.04146386,55.28964378
XS0222684655,2018-11-15,2019-02-15,1,95568,proxy,0.94290684,7.25278192,6.94500575,45.28751299,0.00317209,46.79263988
XS0222684655,2019-02-15,2019-05-15,1,95568,proxy,0.94776185,4.06695529,4.87974556,44.83734373,0.21528533,48.89588181
XS0222684655,2019-05-15,2019-08-16,1,95568,proxy,0.95437264,1.75874221,1.50337593,45.80706589,0.07137801,48.98838616
XS0222684655,2019-08-16,2020-11-16,5,95568,proxy,0.95998642,8.77915084,7.41809582,216.17442502,0.014023,220.93330986
XS0222684655,2020-11-16,2021-02-15,1,95568,proxy,0.94127947,5.32638455,4.46735077,36.00029034,0.03637946,31.88718085
XS0222684655,2021-02-15,2022-05-16,5,95568,proxy,0.94364263,10.20360902,11.64850989,159.47139387,0.01961858,176.23806025
XS0222684655,2022-05-16,2023-05-15,4,95568,proxy,0.80511172,49.84653743,50.19323481,100.36309324,0.05551843,79.51811292
XS0222684655,2023-05-15,2023-11-15,2,95568,proxy,0.67355146,0.79876676,1.6290571,47.11227388,0.31071293,67.40661059
XS0222684655,2023-11-15,2024-05-15,2,95568,proxy,0.55806464,3.64179473,225.14718754,57.01913768,0.06540722,54.87995197
XS0222684655,2024-05-15,2025-02-17,3,95568,proxy,0.81617728,7.01126037,5.62685985,972.65,0.00569936,62.44351891
XS0222684655,2025-02-17,2025-08-18,2,95568,proxy,0.85476137,4.51247967,5.42106394,902.75,0.04010023,48.92233194
XS0222684655,2025-08-18,2025-11-17,1,95568,proxy,0.8435564,7.25865212,7.05656544,873.92,0.00040218,24.05417376
XS0222684655,2025-11-17,2026-05-15,2,23892,pool,0.83044384,5.61368885,5.6181261,810.6,1.18174312,21.65531808
XS0222684655,2026-05-15,2026-08-17,1,23892,pool,0.83089464,0.97561871,0.97440521,784.05,0.7426709,15.11201321
XS0260784318,2013-04-22,2015-07-20,9,95568,proxy,0.96299361,31.00381398,86.12253558,749.61033411,0.57973091,856.11575108
XS0260784318,2015-07-20,2017-04-20,7,95568,proxy,0.9414859,159.50101313,132.94679586,471.96109733,0.07029775,404.44686695
XS0260784318,2017-04-20,2018-04-20,4,95568,proxy,0.93870407,71.68384691,70.80594982,254.67769702,0.08034486,234.0805055
XS0260784318,2018-04-20,2025-01-20,27,95568,proxy,0.49788419,166.80249425,225.09351756,1034.96229641,0.17745798,729.62208594
XS0260784318,2025-01-20,2026-01-20,4,95568,proxy,0.44877978,1018.87,386.53423212,1017.83681305,0.0065824,94.64181962
XS0260784318,2026-01-20,2026-07-20,2,23892,pool,0.60489719,11.56823466,13.61014957,956.63,0.42640958,47.54475374
ES0377992005,2021-10-26,2022-01-26,1,47784,proxy,0.39380221,6.36842433,6.01289138,23.53163922,0.15688747,24.41983121
ES0377992005,2021-10-26,2022-01-26,1,47784,proxy,0.39380221,6.36842433,6.01289138,23.53163922,0.15688747,24.41983121
ES0345672010,2015-10-22,2016-01-21,1,95568,proxy,0.77428918,30.5832904,30.12690931,56.72482714,0.00574953,40.99763046
ES0345672010,2015-10-22,2016-01-21,1,95568,proxy,0.77428918,30.5832904,30.12690931,56.72482714,0.00574953,40.99763046
ES0345672010,2016-10-22,2018-01-15,5,95568,proxy,0.67565283,188.83118246,178.27668154,212.09674372,0.02948737,90.34411723
ES0345672010,2016-10-22,2018-01-15,5,95568,proxy,0.67565283,188.83118246,178.27668154,212.09674372,0.02948737,90.34411723
ES0345672010,2016-10-22,2018-01-15,5,95568,proxy,0.67565283,188.83118246,178.27668154,212.09674372,0.02948737,90.34411723
ES0345672010,2016-10-22,2018-01-15,5,95568,proxy,0.67565283,188.83118246,178.27668154,212.09674372,0.02948737,90.34411723
ES0345672010,2018-10-15,2019-01-15,1,95568,proxy,0.76066194,46.31515895,46.47282004,77.69711713,0.05820874,68.40390099
ES0345672010,2018-10-15,2019-01-15,1,95568,proxy,0.76066194,46.31515895,46.47282004,77.69711713,0.05820874,68.40390099
ES0345672010,2018-10-15,2019-01-15,1,95568,proxy,0.76066194,46.31515895,46.47282004,77.69711713,0.05820874,68.40390099
ES0345672010,2018-10-15,2019-01-15,1,95568,proxy,0.76066194,46.31515895,46.47282004,77.69711713,0.05820874,68.40390099
