isin,ticker,expected_ipd,prev_observed,next_observed,status
ES0338186010,UCI_16_A2,,,,NO_ROWS; CONFIG_INCOMPLETE: ipd_rule
ES0345672010,HIPO_11_A2,2017-01-16,2016-10-22,2018-01-15,MISSING
ES0345672010,HIPO_11_A2,2017-04-18,2016-10-22,2018-01-15,MISSING
ES0345672010,HIPO_11_A2,2017-07-17,2016-10-22,2018-01-15,MISSING
ES0345672010,HIPO_11_A2,2017-10-16,2016-10-22,2018-01-15,MISSING
ES0345672010,HIPO_11_A2,2020-01-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2020-04-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2020-07-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2020-10-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2021-01-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2021-04-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2021-07-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2021-10-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2022-01-17,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2022-04-19,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2022-07-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2022-10-17,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2023-01-16,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2023-04-17,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2023-07-17,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2023-10-16,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2024-01-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2024-04-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2024-07-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2024-10-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2025-01-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2025-04-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2025-07-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2025-10-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2026-01-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2026-04-15,2019-10-15,,MISSING
ES0345672010,HIPO_11_A2,2026-07-15,2019-10-15,,MISSING
ES0345721015,HIPO_9_A2a,,,,NO_ROWS
ES0345721023,HIPO_9_A2b,,,,NO_ROWS
ES0359091016,CAJAM_2006-1_A2,,,,NO_ROWS
ES0377955010,TDAC_9_A2,,,,NO_ROWS
ES0377966009,TDAC_8_A,2021-02-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2021-05-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2021-08-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2021-11-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2022-02-28,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2022-05-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2022-08-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2022-11-28,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2023-02-27,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2023-05-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2023-08-28,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2023-11-27,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2024-02-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2024-05-27,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2024-08-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2024-11-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2025-02-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2025-05-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2025-08-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2025-11-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2026-02-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2026-05-26,2020-11-26,,MISSING
ES0377966009,TDAC_8_A,2026-08-26,2020-11-26,,MISSING
ES0377992005,TDAC_5_A,2023-01-26,2022-10-26,,MISSING
