isin,candidate,cpr_model,cdr_model,recovery,call,n_params,h,n_obs,E_fac,E_prin,E_cum,E_wal,E_dm,U,CRPS,COV,BIAS,STAB,S,win_share
ES0345672010,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,1,2,18.39427267,0.68469678,0.68469678,,,1.0,0.00459313,1.0,0.68469678,0.01626158,-0.20734963,1.0
ES0345672010,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,4,2,50.84096893,1.3522381,0.40835635,0.00999776,1.58815086,1.0,0.02338903,1.0,1.3522381,0.01626158,-0.20734963,1.0
ES0345672010,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,8,6,238.63446154,0.06934995,0.35917192,,,1.0,0.09338509,0.0,0.06934995,0.01626158,-0.20734963,1.0
ES0345672010,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,12,6,175.25342901,1.52361574,0.22214819,,,1.0,0.07486596,0.0,1.52361574,0.01626158,-0.20734963,1.0
ES0345672010,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,1,2,24.02147461,0.89416018,0.89416018,,,1.30592142,0.00682514,0.5,0.89416018,0.02957957,0.26955139,0.0
ES0345672010,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,4,2,103.53028227,2.4792865,0.83155867,0.01642004,2.62407959,2.03635541,0.05087126,0.0,2.4792865,0.02957957,0.26955139,0.0
ES0345672010,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,8,6,96.07766752,0.47736323,0.14460778,,,0.40261439,0.04082512,0.0,0.47736323,0.02957957,0.26955139,0.0
ES0345672010,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,12,6,32.92769804,2.35549295,0.04173858,,,0.18788618,0.00190861,0.0,2.35549295,0.02957957,0.26955139,0.0
ES0345672010,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,1,2,28.49150433,1.06054974,1.06054974,,,1.54893346,0.00661938,0.5,1.06054974,0.00206394,0.3769168,0.0
ES0345672010,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,4,2,88.43284099,1.83537751,0.71029552,0.01689805,2.7025938,1.73940117,0.02819071,0.0,1.83537751,0.00206394,0.3769168,0.0
ES0345672010,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,8,6,135.91827699,0.30092368,0.20457242,,,0.56956684,0.06726507,0.0,0.30092368,0.00206394,0.3769168,0.0
ES0345672010,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,12,6,34.96107512,2.00275606,0.04431605,,,0.19948868,0.03865298,0.0,2.00275606,0.00206394,0.3769168,0.0
ES0345672010,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,1,2,38.72173898,1.44135353,1.44135353,,,2.10510138,0.01100704,0.0,1.44135353,0.01748762,1.17951838,0.0
ES0345672010,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,4,2,125.96366339,2.309876,1.01174433,0.02384395,3.84064019,2.47760715,0.04706469,0.0,2.309876,0.01748762,1.17951838,0.0
ES0345672010,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,8,6,68.51276868,0.44677403,0.10311949,,,0.28711269,0.05100738,0.0,0.44677403,0.01748762,1.17951838,0.0
ES0345672010,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,12,6,55.39703268,2.28931481,0.07022031,,,0.31612435,0.01647826,0.0,2.28931481,0.01748762,1.17951838,0.0
ES0345672010,cpr_ar1|cdr_zero|rec_none|call_never,cpr_ar1,cdr_zero,rec_none,call_never,2,1,2,39.0320007,1.45290251,1.45290251,,,2.12196489,0.01402402,0.0,1.45290251,0.00491335,1.19232273,0.0
