isin,candidate,cpr_model,cdr_model,recovery,call,n_params,h,n_obs,E_fac,E_prin,E_cum,E_wal,E_dm,U,CRPS,COV,BIAS,STAB,S,win_share
XS0222684655,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,1,3,3.31386767,0.09514406,0.08870619,,,0.74445598,0.00247734,0.66666667,-0.01259311,0.12067576,-0.96921261,0.0
XS0222684655,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,4,3,19.94422476,0.18224312,0.10620008,,,0.98325773,0.01423845,0.33333333,-0.09047379,0.12067576,-0.96921261,0.0
XS0222684655,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,8,3,31.22007205,0.06919118,0.08931642,,,1.02838372,0.02233112,0.66666667,0.01376002,0.12067576,-0.96921261,0.0
XS0222684655,cpr_ewma|cdr_zero|rec_none|call_never,cpr_ewma,cdr_zero,rec_none,call_never,2,12,2,60.53864204,0.17603187,0.11168658,,,0.76044657,0.03826543,0.5,-0.14457502,0.12067576,-0.96921261,0.0
XS0222684655,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,1,3,2.89238691,0.08304298,0.07810622,,,0.64380921,0.00219385,0.33333333,-0.00840842,0.12704476,-0.68850745,0.0
XS0222684655,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,4,3,23.23567676,0.17429775,0.12337349,,,1.09007547,0.01462613,0.33333333,-0.11523073,0.12704476,-0.68850745,0.0
XS0222684655,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,8,3,31.10686758,0.09409545,0.08655488,,,1.11556013,0.02487867,0.33333333,0.02224183,0.12704476,-0.68850745,0.0
XS0222684655,cpr_ma3|cdr_zero|rec_none|call_never,cpr_ma3,cdr_zero,rec_none,call_never,1,12,2,64.73238509,0.15812541,0.12322324,,,0.73244671,0.03540794,0.5,-0.14983675,0.12704476,-0.68850745,0.0
XS0222684655,cpr_rate|cdr_zero|rec_none|call_never,cpr_rate,cdr_zero,rec_none,call_never,3,1,3,2.00502647,0.05756608,0.04980388,,,0.49474834,0.00185549,0.66666667,-0.02245956,0.14170342,-0.4885537,0.0
XS0222684655,cpr_rate|cdr_zero|rec_none|call_never,cpr_rate,cdr_zero,rec_none,call_never,3,4,3,24.36954199,0.22252687,0.1312136,,,1.06939798,0.02272162,0.33333333,-0.05175289,0.14170342,-0.4885537,0.0
XS0222684655,cpr_rate|cdr_zero|rec_none|call_never,cpr_rate,cdr_zero,rec_none,call_never,3,8,3,42.49979031,0.12435617,0.12829972,,,1.13898993,0.03613989,0.33333333,0.07147688,0.14170342,-0.4885537,0.0
XS0222684655,cpr_rate|cdr_zero|rec_none|call_never,cpr_rate,cdr_zero,rec_none,call_never,3,12,2,72.0719536,0.21772998,0.14069523,,,0.76146725,0.06271963,0.0,-0.09215475,0.14170342,-0.4885537,0.0
XS0222684655,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,1,3,3.36022672,0.09647507,0.07920548,,,0.89616335,0.00242746,0.66666667,-0.05615258,0.03558086,-0.47859012,0.33333333
XS0222684655,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,4,3,19.44773555,0.16924463,0.1063265,,,0.91862144,0.01339768,0.33333333,-0.11370827,0.03558086,-0.47859012,0.33333333
XS0222684655,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,8,3,45.20437145,0.05248248,0.14124107,,,1.09953159,0.02793182,0.0,-0.05248248,0.03558086,-0.47859012,0.33333333
XS0222684655,cpr_ramp|cdr_zero|rec_none|call_never,cpr_ramp,cdr_zero,rec_none,call_never,3,12,2,61.74352616,0.14627854,0.11760337,,,0.69735653,0.03513707,0.5,-0.14627854,0.03558086,-0.47859012,0.33333333
XS0222684655,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,1,3,2.62367649,0.07532806,0.07744486,,,0.51865937,0.00239197,0.66666667,0.01445767,0.11159464,-0.4553667,0.0
XS0222684655,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,4,3,27.58512784,0.18085472,0.14902664,,,1.18115739,0.02036775,0.33333333,-0.14453006,0.11159464,-0.4553667,0.0
XS0222684655,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,8,3,47.65270164,0.04334022,0.14605207,,,1.21422757,0.02988174,0.33333333,-0.04334022,0.11159464,-0.4553667,0.0
XS0222684655,cpr_ma6|cdr_zero|rec_none|call_never,cpr_ma6,cdr_zero,rec_none,call_never,1,12,2,75.03937839,0.1645192,0.1504211,,,0.75889788,0.0553228,0.0,-0.1645192,0.11159464,-0.4553667,0.0
XS0222684655,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,1,3,3.08431056,0.08855327,0.08869234,,,0.62047327,0.0024058,0.66666667,0.0083495,0.29854305,-0.43605414,0.0
XS0222684655,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,4,3,28.71672072,0.18853546,0.15517444,,,1.23724491,0.01884067,0.33333333,-0.14981063,0.29854305,-0.43605414,0.0
XS0222684655,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,8,3,39.92146205,0.06378125,0.11613075,,,1.21343988,0.02446641,0.66666667,-0.02393149,0.29854305,-0.43605414,0.0
XS0222684655,cpr_season|cdr_zero|rec_none|call_never,cpr_season,cdr_zero,rec_none,call_never,3,12,2,79.79084255,0.17670336,0.15859555,,,0.81507671,0.04937117,0.0,-0.17670336,0.29854305,-0.43605414,0.0
XS0222684655,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,1,3,0.75220461,0.02159646,0.02362809,,,0.14472754,0.00177056,0.66666667,-0.02159646,0.04221273,-0.31072688,0.0
XS0222684655,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,4,3,28.26077321,0.15702706,0.1633159,,,1.08109198,0.02097362,0.33333333,-0.15702706,0.04221273,-0.31072688,0.0
XS0222684655,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,8,3,53.23244214,0.06085624,0.16974869,,,1.22724844,0.03960221,0.0,-0.06085624,0.04221273,-0.31072688,0.0
XS0222684655,cpr_pooled|cdr_zero|rec_none|call_never,cpr_pooled,cdr_zero,rec_none,call_never,1,12,2,62.77844648,0.14502524,0.12799505,,,0.6304626,0.05364805,0.0,-0.14502524,0.04221273,-0.31072688,0.0
XS0222684655,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,1,3,0.74208503,0.02130592,0.02347045,,,0.14316924,0.00188941,0.66666667,-0.02130592,0.04219192,-0.30511046,0.33333333
XS0222684655,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,4,3,28.35081949,0.15756578,0.16381348,,,1.08470267,0.02152306,0.33333333,-0.15756578,0.04219192,-0.30511046,0.33333333
XS0222684655,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,8,3,53.42268112,0.06147177,0.17035479,,,1.23163736,0.0406214,0.0,-0.06147177,0.04219192,-0.30511046,0.33333333
XS0222684655,cpr_ma12|cdr_zero|rec_none|call_never,cpr_ma12,cdr_zero,rec_none,call_never,1,12,2,62.74164525,0.14496348,0.12799786,,,0.63014916,0.05524016,0.0,-0.14496348,0.04219192,-0.30511046,0.33333333
XS0222684655,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,1,3,3.98213593,0.11433063,0.09783699,,,1.0,0.00220985,0.66666667,-0.04837285,0.15193665,-0.234304,0.0
XS0222684655,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,4,3,23.1921617,0.22663023,0.12534021,,,1.0,0.01744072,0.0,-0.03168539,0.15193665,-0.234304,0.0
XS0222684655,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,8,3,36.76625132,0.0693868,0.11117561,,,1.0,0.02456923,0.0,0.01874115,0.15193665,-0.234304,0.0
XS0222684655,cpr_last|cdr_zero|rec_none|call_never,cpr_last,cdr_zero,rec_none,call_never,1,12,2,90.29750639,0.24024928,0.17312658,,,1.0,0.06408283,0.0,-0.12431867,0.15193665,-0.234304,0.0
XS0222684655,cpr_ar1|cdr_zero|rec_none|call_never,cpr_ar1,cdr_zero,rec_none,call_never,2,1,3,1.80527672,0.05183109,0.04402168,,,0.47817514,0.00170535,0.66666667,-0.05150974,0.02279347,-0.18596234,0.33333333
XS0222684655,cpr_ar1|cdr_zero|rec_none|call_never,cpr_ar1,cdr_zero,rec_none,call_never,2,4,3,32.90282419,0.19194466,0.18963034,,,1.2616073,0.01741284,0.33333333,-0.19194466,0.02279347,-0.18596234,0.33333333
