isin,ticker,status,valuation_date,balance,price,dm_bp,wal_to_call,wal_to_maturity,spread_duration,call_assumption,model
XS0222684655,MAGEL_3_A,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
XS0260784318,MAGEL_4_A,NOT_PRICED: NO_RELIABLE_MODEL (THIN_HISTORY),2026-09-23,,98.5,,,,,,
XS0230694233,LUSI_4_A,NOT_PRICED: MANUAL_REQUIRED,2026-09-23,,98.5,,,,,,
XS0268642161,LUSI_5_A,NOT_PRICED: MANUAL_REQUIRED,2026-09-23,,98.5,,,,,,
XS0312981649,LUSI_6_A,NOT_PRICED: MANUAL_REQUIRED,2026-09-23,,98.5,,,,,,
ES0377992005,TDAC_5_A,NOT_PRICED: NO_RELIABLE_MODEL (THIN_HISTORY),2026-09-23,,98.5,,,,,,
ES0377993029,TDAC_6_A3,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0377994019,TDAC_7_A2,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0377994027,TDAC_7_A3,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0377966009,TDAC_8_A,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0377955010,TDAC_9_A2,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0359091016,CAJAM_2006-1_A2,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0380957003,UCI_15_A,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0338186010,UCI_16_A2,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0345672010,HIPO_11_A2,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0345721015,HIPO_9_A2a,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
ES0345721023,HIPO_9_A2b,NOT_PRICED: NO_RELIABLE_MODEL,2026-09-23,,98.5,,,,,,
