isin,payment_date,step,metric,p5,p25,p50,p75,p95
ES0345672010,2020-01-15,1,principal,606800.96996722,1087732.52748618,1624591.68999045,2455738.64449346,7072429.96058366
ES0345672010,2020-01-15,1,balance,209948570.03941634,214565261.35550654,215396408.31000954,215933267.47251382,216414199.03003278
ES0345672010,2020-04-15,2,principal,592632.32991744,1084691.17594535,1616096.40453352,2447018.86353447,7026915.46059977
ES0345672010,2020-04-15,2,balance,208597449.66905805,211360985.47322983,213443260.57488862,213803387.902636,215329507.85408744
ES0345672010,2020-07-15,3,principal,588195.9594353,1059363.92764187,1597809.18627428,2435202.19545737,6967017.84707365
ES0345672010,2020-07-15,3,balance,206819359.48242235,209266912.795179,210719306.33699918,212141351.00147235,212770930.12053487
ES0345672010,2020-10-15,4,principal,585120.17577175,1051433.66359589,1592135.72173447,2355842.14750242,6913408.5950277
ES0345672010,2020-10-15,4,balance,205227942.40644464,205837004.3671482,208681792.61940727,209663158.57400814,211658312.22432986
ES0345672010,2021-01-15,5,principal,583484.15211411,1031595.05984582,1548475.51887679,2369085.77784944,6741068.98392355
ES0345672010,2021-01-15,5,balance,201030765.47144875,204253146.23879042,206164264.8938801,208268427.51558924,210284814.83206764
ES0345672010,2021-04-15,6,principal,571720.78447736,1028792.52385746,1540720.00243016,2352990.18535477,6699172.88050448
ES0345672010,2021-04-15,6,balance,198868249.6040841,202185177.37354875,204126025.09925213,206259150.04104248,208975350.48333535
ES0345672010,2021-07-15,7,principal,571536.79827477,1018657.01225523,1552555.28693862,2666642.18804682,6640595.69074533
ES0345672010,2021-07-15,7,balance,196892147.6815721,200236553.30347332,201724808.47152272,204095832.04677707,206744732.28918937
ES0345672010,2021-10-15,8,principal,562759.23609418,997248.9095772,1531290.6982566,2273528.18498058,6557131.86819062
ES0345672010,2021-10-15,8,balance,195198302.2435878,197927551.06070492,199884252.74722487,201786350.37478533,205114553.99932298
ES0345672010,2022-01-17,9,principal,561955.85494595,1001619.09612816,1507043.07923727,2281865.85327693,6480678.76086441
ES0345672010,2022-01-17,9,balance,192620874.08683723,195513918.88184386,197954964.33329272,200190794.49251792,203461342.0448227
ES0345672010,2022-04-19,10,principal,549552.9406513,997700.86135776,1481187.97877849,2273338.83697758,6440393.18471277
ES0345672010,2022-04-19,10,balance,190162459.10065284,193235809.9949293,195894428.56719905,198190211.04974383,201864173.26570347
ES0345672010,2022-07-15,11,principal,543860.64535522,954393.16085679,1469344.54265273,2275306.91034604,6384016.82355552
ES0345672010,2022-07-15,11,balance,188609902.2011278,191391676.88396734,193959439.4962995,196202753.35046574,199371460.9733074
ES0345672010,2022-10-17,12,principal,544281.58466119,957841.25371204,1472551.9285553,2293644.1516345,6334316.02492309
ES0345672010,2022-10-17,12,balance,186488932.9255431,189319864.42527908,191776129.231129,194032546.72284248,197760835.35673177
ES0345672010,2023-01-16,13,principal,540013.48030018,948938.45910686,1431375.1591292,2191898.34977974,6221453.70795726
ES0345672010,2023-01-16,13,balance,183615383.4691677,187269912.29298824,189750889.92149097,192440614.6170324,195913407.2098319
ES0345672010,2023-04-17,14,principal,529612.33365819,947875.59565357,1417476.00858742,2176345.7710247,6164240.76608664
ES0345672010,2023-04-17,14,balance,181732786.5752883,185303515.04601407,187879278.86179176,190510667.15530464,194308232.57341784
ES0345672010,2023-07-17,15,principal,530986.10917051,923298.46116732,1404537.03039512,2219083.04005694,6105408.04292752
ES0345672010,2023-07-17,15,balance,179959331.47201064,183476757.17955086,185890271.00484723,188570772.33066916,192259589.3308394
ES0345672010,2023-10-16,16,principal,518786.928122,919913.56879135,1414622.17085715,2098507.60676366,6079514.70660955
ES0345672010,2023-10-16,16,balance,178308529.7930124,181484803.67647278,183919788.79453465,186532685.59325418,190314849.59504753
ES0345672010,2024-01-15,17,principal,520059.04996449,918854.26387824,1373059.98764815,2092853.24664844,5963461.81937854
ES0345672010,2024-01-15,17,balance,175614550.29769337,179578239.10755897,182185340.8715607,184821059.3454289,188850547.8175523
ES0345672010,2024-04-15,18,principal,515753.15871859,913949.92335229,1363324.13297897,2124615.61644721,5914362.36396169
ES0345672010,2024-04-15,18,balance,173652240.91436931,177578641.79291478,180343070.0536927,183047466.7130416,187291437.53706652
ES0345672010,2024-07-15,19,principal,501346.41938727,880686.56602349,1358967.772208,2085815.51675689,5855543.06241274
ES0345672010,2024-07-15,19,balance,172076228.42582604,175846142.55491173,178463380.65437478,181217869.56708044,185105464.9017723
ES0345672010,2024-10-15,20,principal,503416.8833051,879652.5454996,1341226.77223927,2013637.66265316,5796694.03460035
ES0345672010,2024-10-15,20,balance,170105266.54758507,173952415.18323785,176621687.72420418,179387905.71862328,183534025.64088386
ES0345672010,2025-01-15,21,principal,500580.23435531,888149.49086067,1311756.23424483,2016852.78339361,5695994.68262918
ES0345672010,2025-01-15,21,balance,167908657.26344338,172017392.08141333,174971886.34289202,177735316.4135752,182100329.32537678
ES0345672010,2025-04-15,22,principal,489215.87952011,873900.94511227,1313252.07538575,2252801.54416829,5717985.67989585
ES0345672010,2025-04-15,22,balance,165946739.28570157,169856724.31514958,172990073.0299945,175788202.15352464,180682851.4899227
ES0345672010,2025-07-15,23,principal,479193.89297602,830602.79022319,1267057.04224932,1985557.01130818,5570742.01243287
ES0345672010,2025-07-15,23,balance,164439968.99865302,168236741.72687185,171459072.6188642,173987376.1317262,178814941.15169573
ES0345672010,2025-10-15,24,principal,481450.376422,836409.88088348,1280662.74186064,1951065.03168228,5598893.5620965
ES0345672010,2025-10-15,24,balance,162705169.48243698,166531087.45274392,169571746.21999258,172282693.47087651,176926800.3668193
ES0345672010,2026-01-15,25,principal,481144.8211642,835897.5931435,1260424.36098659,2118456.68128131,5482454.24321594
ES0345672010,2026-01-15,25,balance,160773269.76953974,164412901.25979042,167693667.69709498,170951969.03482458,175359016.41247636
ES0345672010,2026-04-15,26,principal,463387.59246084,814877.77849456,1251388.35515177,1977262.33564577,5408257.57189203
ES0345672010,2026-04-15,26,balance,159036673.3878948,162885938.80035225,165869370.57728326,169144315.9656216,173611052.54063603
ES0345672010,2026-07-15,27,principal,465185.77928015,809777.87792426,1244178.83450614,1922359.31506523,5336406.25300969
ES0345672010,2026-07-15,27,balance,157358583.26025516,161310146.2435515,164245186.68677852,167483805.72903454,171963810.39080742
ES0345672010,2026-10-15,28,principal,462598.78951993,820834.24859864,1231645.40708387,1843691.91256621,5314036.00063069
ES0345672010,2026-10-15,28,balance,156013506.49919027,159660496.52887493,162622107.76255637,165731844.41069597,170402932.88255548
ES0345672010,2027-01-15,29,principal,460495.22715397,801318.13483395,1212409.3283213,1910713.6598901,5233267.24603443
ES0345672010,2027-01-15,29,balance,154015455.18295565,158008447.39147055,161140568.90875885,164250427.99172926,168858178.4163682
ES0345672010,2027-04-15,30,principal,450523.8383603,801421.00220504,1201771.20473537,1903317.56537206,5220580.41794412
ES0345672010,2027-04-15,30,balance,152509586.85677314,156244520.82871556,159351176.57198328,162661809.80856058,167322081.7279951
ES0345672010,2027-07-15,31,principal,445611.77878126,791919.38110811,1193862.20120278,1829328.0953236,5169468.18912808
ES0345672010,2027-07-15,31,balance,150424802.37203982,154736777.35473648,157801446.56756878,161126067.72611457,165652716.36563942
ES0345672010,2027-10-15,32,principal,452187.58332049,788929.63009032,1197381.8587579,1786195.55773706,5067557.927722
ES0345672010,2027-10-15,32,balance,149048688.4395122,153258234.3256026,156205210.70898932,159246507.35407227,164103261.7973232
ES0345672010,2028-01-17,33,principal,442368.28746629,780868.81922475,1171453.348202,1799912.28142901,5072173.37939068
ES0345672010,2028-01-17,33,balance,147180215.4879522,151397346.39861774,154533503.58900365,157673337.6449408,162834152.15977204
ES0345672010,2028-04-18,34,principal,430902.75340102,761572.38892453,1145734.01096807,1801711.96167003,4998085.81310204
ES0345672010,2028-04-18,34,balance,145794246.20369154,149957893.72690737,152789679.88564098,156255427.7767547,161207536.92605603
ES0345672010,2028-07-17,35,principal,425949.43283946,742530.88586875,1098159.26039719,1767892.37691699,4940077.04044756
ES0345672010,2028-07-17,35,balance,143881100.849147,148513570.3190834,151387885.5177381,154803405.57607472,159511931.60938442
ES0345672010,2028-10-16,36,principal,430336.08739096,753069.17332067,1156628.01413075,1778246.98878202,4944546.9475561
ES0345672010,2028-10-16,36,balance,142224282.85483977,146917117.51314968,149817080.2400485,153126051.18884492,157918277.50432706
ES0345672010,2029-01-15,37,principal,419929.01519312,745158.07583428,1128036.43989005,1727329.17036791,4810965.23509073
ES0345672010,2029-01-15,37,balance,140667860.90455952,145324467.9423038,148409736.7232803,151654887.25868332,156397982.68758285
ES0345672010,2029-04-16,38,principal,414387.4156216,736688.16161159,1100651.09423941,1687541.39533603,4822485.94436769
ES0345672010,2029-04-16,38,balance,139091645.34842056,143777680.48512217,146754907.9029473,150024081.12491956,154816488.21231392
ES0345672010,2029-07-16,39,principal,415698.74317548,722275.51443292,1098767.69439755,1713378.95997347,4767458.55081931
ES0345672010,2029-07-16,39,balance,137722745.61179,142325307.27817923,145398921.26529044,148563734.2799291,153395232.43581837
ES0345672010,2029-10-15,40,principal,411720.81719435,717359.72306975,1082859.04114392,1688191.43142887,4762090.63203958
ES0345672010,2029-10-15,40,balance,136096005.810782,140624362.7061336,143849387.32964414,147206718.68048543,151614884.51482657
ES0345672010,,0,dm_bp_at_price_ref,30.67971205,30.98710092,31.2179704,31.42789613,31.73617564
