isin,payment_date,step,metric,p5,p25,p50,p75,p95
XS0222684655,2026-11-16,1,principal,3224321.60474111,3353854.53151706,3587710.32154975,3999275.70061418,5332162.74244156
XS0222684655,2026-11-16,1,balance,105512906.00755844,106845793.04938582,107257358.42845024,107491214.21848294,107620747.14525889
XS0222684655,2027-02-15,2,principal,3122370.55399593,3390259.15804827,3478020.6176046,3806891.9606062,5146676.61216128
XS0222684655,2027-02-15,2,balance,101706014.04695223,103074737.63263635,103667260.76583742,104012057.74290389,104217845.82260351
XS0222684655,2027-05-17,3,principal,3020282.80729961,3140389.7577565,3369736.71337531,3674464.3337171,4954480.99432262
XS0222684655,2027-05-17,3,balance,98039334.64169316,99595195.96539183,100325972.52705598,100649656.98671554,100810381.89044525
XS0222684655,2027-08-16,4,principal,2920111.14693083,3048130.39122505,3261632.7802469,3537246.47526916,4810362.35837045
XS0222684655,2027-08-16,4,balance,94502088.166424,95247660.01996833,97045755.6875471,97349561.02858262,97692739.43459746
XS0222684655,2027-11-15,5,principal,2815890.31082969,2943245.39122663,3137994.72619063,3420523.39460206,4561444.59378285
XS0222684655,2027-11-15,5,balance,91383680.97105901,92365738.43539295,93693595.98710386,94182587.85464856,94603459.9903404
XS0222684655,2028-02-15,6,principal,2718553.27070988,2853616.42466405,3045805.72165631,3332964.75255131,4422469.21505797
XS0222684655,2028-02-15,6,balance,88089139.69802612,89185375.56298907,90541102.20575975,91097811.4491412,91498105.37036268
XS0222684655,2028-05-15,7,principal,2626689.37582585,2758043.88795827,2950978.29786374,3168954.38847152,4237496.84138786
XS0222684655,2028-05-15,7,balance,85182348.82813469,86153084.14294162,87548950.1629944,88096703.28810096,88503704.95526661
XS0222684655,2028-08-16,8,principal,2509442.54418756,2675715.16440777,2843862.97839245,3068754.01478884,4184386.14311239
XS0222684655,2028-08-16,8,balance,81463963.41951916,83197418.05913208,84576814.3982819,85221491.37091446,85732312.595896
XS0222684655,2028-11-15,9,principal,2448696.56851068,2575106.06739149,2739834.44485424,3015898.99701552,3997407.91716342
XS0222684655,2028-11-15,9,balance,78780695.81766029,80452590.19270344,81457922.27640143,82380119.64224824,82986348.08528145
XS0222684655,2029-02-15,10,principal,2355112.57902886,2492355.89031327,2653390.2253085,2858442.53777076,3872241.23627019
XS0222684655,2029-02-15,10,balance,76186822.56930996,77766307.53031698,78586638.9776068,79669835.42519614,80291733.94520353
