fund,isin_or_fund_senior,date,senior_notes_outstanding_kEUR,scope,source_url
TDA CAM 5,ES0377992005,2020-12-31,302596,Serie A,https://internet.cnmv.es/AUDITA/2022/19794.pdf
TDA CAM 5,ES0377992005,2021-12-31,255424,Serie A,https://internet.cnmv.es/AUDITA/2022/19794.pdf
TDA CAM 5,ES0377992005,2022-12-31,210062,Serie A,https://internet.cnmv.es/AUDITA/2022/19794.pdf
TDA CAM 6,ES0377993029,2020-12-31,193914,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2021/19444.pdf
TDA CAM 6,ES0377993029,2021-12-31,162898,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2021/19444.pdf
TDA CAM 7,ES0377994019,2019-12-31,332803,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2020/19036.pdf
TDA CAM 7,ES0377994019,2020-12-31,287302,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2021/19445.pdf
TDA CAM 7,ES0377994019,2021-12-31,245502,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2021/19445.pdf
TDA CAM 9,ES0377955010,2019-12-31,319060,all non-subordinated series (sum of A classes),https://www.cnmv.es/AUDITA/2020/19038.pdf
TDA CAM 9,ES0377955010,2020-12-31,276544,all non-subordinated series (sum of A classes),https://www.cnmv.es/AUDITA/2020/19038.pdf
TDA CAM 9,ES0377955010,2021-12-31,239704,all non-subordinated series (sum of A classes),https://internet.cnmv.es/AUDITA/2021/19447.pdf
HIPOCAT 11,ES0345672010,2018-12-31,230507,A2 only,https://internet.cnmv.es/AUDITA/2019/18634.pdf
HIPOCAT 11,ES0345672010,2019-12-31,217021,A2 only,https://internet.cnmv.es/AUDITA/2019/18634.pdf
HIPOCAT 11,ES0345672010,2015-12-31,338657,A2 only,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf
HIPOCAT 11,ES0345672010,2016-12-31,302475,A2 only,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf
