isin,date,checkpoint_kEUR,chain_kEUR,diff_kEUR,tolerance_kEUR,result,source_url
ES0345672010,2015-12-31,338657.0,338657.0,0.0,2.0,TIED,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf
ES0345672010,2016-12-31,302475.0,302475.0,0.0,4.0,TIED,https://edt-sg.com/intranet/fondos/FGH11/MFGH11C01161231.pdf
ES0345672010,2018-12-31,230507.0,230507.0,0.0,6.0,TIED,https://internet.cnmv.es/AUDITA/2019/18634.pdf
ES0345672010,2019-12-31,217021.0,217021.0,0.0,8.0,TIED,https://internet.cnmv.es/AUDITA/2019/18634.pdf
ES0377955010,2019-12-31,319060.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://www.cnmv.es/AUDITA/2020/19038.pdf
ES0377955010,2020-12-31,276544.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://www.cnmv.es/AUDITA/2020/19038.pdf
ES0377955010,2021-12-31,239704.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2021/19447.pdf
ES0377992005,2020-12-31,302596.0,302596.0,0.0,1.0,TIED,https://internet.cnmv.es/AUDITA/2022/19794.pdf
ES0377992005,2021-12-31,255424.0,255425.0,1.0,2.0,TIED,https://internet.cnmv.es/AUDITA/2022/19794.pdf
ES0377992005,2022-12-31,210062.0,210064.0,2.0,4.0,TIED,https://internet.cnmv.es/AUDITA/2022/19794.pdf
ES0377993029,2020-12-31,193914.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2021/19444.pdf
ES0377993029,2021-12-31,162898.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2021/19444.pdf
ES0377994019,2019-12-31,332803.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2020/19036.pdf
ES0377994019,2020-12-31,287302.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2021/19445.pdf
ES0377994019,2021-12-31,245502.0,,,,NOT_COMPARABLE (checkpoint scope: all non-subordinated series (sum of A classes)),https://internet.cnmv.es/AUDITA/2021/19445.pdf
